ID,²îÖµ,11ÔÂ×Ü´û¿îÍ³¼Æ,11ÔÂ¸ø¶¨×Ü´û¿îÖµ,ÉÌ,ÓàÊý,uid
99,2.34095E+11,2.95145E+11,61049761459,4,50946055814,202
101,-1,47230168220,47230168221,0,47230168220,203
103,81547801153,1.33083E+11,51535381047,2,30012420106,215
105,-1,57819822590,57819822591,0,57819822590,216
107,0,54054159740,54054159740,1,0,235
109,3,57227683630,57227683627,1,3,236
111,2.12369E+11,2.78659E+11,66290091515,4,13498797920,239
113,2,52921539290,52921539288,1,2,241
115,1.69896E+11,2.40043E+11,70147436732,3,29600889374,258
117,-1,47230168220,47230168221,0,47230168220,259
119,3,57227683630,57227683627,1,3,261
121,3,57227683630,57227683627,1,3,266
123,-3,61534138560,61534138563,0,61534138560,276
125,3,51535381050,51535381047,1,3,283
127,2,52921539290,52921539288,1,2,287
129,1.00552E+11,1.63219E+11,62666914313,2,37884680864,295
131,1.15873E+11,1.67409E+11,51535381047,3,12802422969,298
133,36839511189,84069679410,47230168221,1,36839511189,315
135,-1,47230168220,47230168221,0,47230168220,316
137,3,42926506990,42926506987,1,3,321
139,-3,61534138560,61534138563,0,61534138560,325
141,1.6605E+11,2.3352E+11,67470873802,3,31107777534,334
143,3.66432E+11,4.34252E+11,67819370735,6,27335275640,339
145,3,57227683630,57227683627,1,3,343
147,-1,47230168220,47230168221,0,47230168220,348
149,4,65840748820,65840748816,1,4,354
151,2,49748429460,49748429458,1,2,358
153,41139555403,92674936450,51535381047,1,41139555403,361
155,3,42926506990,42926506987,1,3,367
157,-4,48616016000,48616016004,0,48616016000,368
159,39353810695,87716288900,48362478205,1,39353810695,385
161,-1,47230168220,47230168221,0,47230168220,387
163,1.12443E+11,1.79286E+11,66842741021,2,45600746648,389
165,41365397048,93632432690,52267035642,1,41365397048,393
167,-1,62920545270,62920545271,0,62920545270,394
169,5,58857701090,58857701085,1,5,400
171,5.74257E+11,6.4069E+11,66432930139,9,42793432969,404
173,2.11155E+11,2.66166E+11,55011803851,4,46119148996,406
175,49748041273,1.09896E+11,60147747387,1,49748041273,419
177,41444966782,91785403460,50340436678,1,41444966782,420
179,1,39756705650,39756705649,1,1,421
181,3,57227683630,57227683627,1,3,425
183,1.79485E+11,2.38578E+11,59092177227,4,2208795562,436
185,42925644941,98112459640,55186814699,1,42925644941,439
187,0,38625945450,38625945450,1,0,440
189,1,45443733960,45443733959,1,1,444
191,-1,47230168220,47230168221,0,47230168220,451
193,0,41541589740,41541589740,1,0,458
195,1.78743E+11,2.38105E+11,59362345835,4,655475380,460
197,2,52921539290,52921539288,1,2,463
199,1,59318125670,59318125669,1,1,470
201,38287433441,85199061930,46911628489,1,38287433441,473
203,5,61837274110,61837274105,1,5,478
205,3,57227683630,57227683627,1,3,483
207,3,57227683630,57227683627,1,3,485
209,3,57227683630,57227683627,1,3,490
211,4.032E+11,4.6927E+11,66069481278,7,6783329534,504
213,-3,61534138560,61534138563,0,61534138560,505
215,44057058392,96978597680,52921539288,1,44057058392,506
217,93805487852,1.46727E+11,52921539288,2,40883948564,517
219,49627340935,1.08485E+11,58857701085,1,49627340935,539
221,3,42926506990,42926506987,1,3,547
223,52189522351,1.13069E+11,60879531389,1,52189522351,555
225,85023392263,1.45171E+11,60147747387,2,24875644876,568
227,5,67819370740,67819370735,1,5,569
229,-3,61534138560,61534138563,0,61534138560,573
231,0,38625945450,38625945450,1,0,578
233,-1,47230168220,47230168221,0,47230168220,582
235,1.56245E+11,2.20298E+11,64053331376,3,28138451712,583
237,2,49748429460,49748429458,1,2,586
239,-3,53513621780,53513621783,0,53513621780,587
241,1.1907E+11,1.71055E+11,51984626236,3,15101124402,594
243,3,51535381050,51535381047,1,3,596
245,0,60524406500,60524406500,1,0,598
247,38622845759,85853013980,47230168221,1,38622845759,606
249,2,52921539290,52921539288,1,2,611
251,6.85699E+11,7.42542E+11,56843269783,13,3579613451,613
253,3,57227683630,57227683627,1,3,616
255,1.3673E+11,1.93957E+11,57227683627,3,22274144479,618
257,2,52921539290,52921539288,1,2,620
259,92672177414,1.49245E+11,56573110966,2,36099066448,622
261,50402450023,1.10149E+11,59746772897,1,50402450023,623
263,40409021048,93076970790,52667949742,1,40409021048,625
265,96733806955,1.55592E+11,58857701085,2,37876105870,627
267,2,52921539290,52921539288,1,2,630
269,4,65840748820,65840748816,1,4,641
271,1.5471E+11,2.18335E+11,63624669356,3,27460857812,643
273,3,51535381050,51535381047,1,3,646
275,3,59746772900,59746772897,1,3,647
277,7.92699E+11,8.54233E+11,61534138563,13,54288876631,651
279,-2,40713020590,40713020592,0,40713020590,659
281,1.52818E+11,2.15563E+11,62744096574,3,27330247358,660
283,53322203187,1.15989E+11,62666914313,1,53322203187,661
285,0,38625945450,38625945450,1,0,666
287,3,42926506990,42926506987,1,3,668
289,0,49748429460,0,0,0,671
291,0,38625945450,38625945450,1,0,676
293,53461785474,1.15588E+11,62126305766,1,53461785474,681
295,-1,47230168220,47230168221,0,47230168220,683
297,1.29605E+11,1.84617E+11,55011803851,3,19581600097,691
299,44922375975,1.03072E+11,58149783275,1,44922375975,693
301,45902941760,1.00454E+11,54551413400,1,45902941760,696
303,39451857429,88771757960,49319900531,1,39451857429,706
305,1,67227186590,67227186589,1,1,711
307,3,57227683630,57227683627,1,3,721
309,5,57165243660,57165243655,1,5,723
311,1,59318125670,59318125669,1,1,738
313,40408245752,90156675210,49748429458,1,40408245752,739
315,-1,62920545270,62920545271,0,62920545270,741
317,4.56758E+11,5.15118E+11,58360407606,8,48234823032,745
319,3,57227683630,57227683627,1,3,746
321,0,41541589740,0,0,0,754
323,0,62920545270,0,0,0,755
325,2.31764E+11,2.9298E+11,61215451756,4,48118096046,758
327,43750505961,99273213780,55522707819,1,43750505961,760
329,-1,47230168220,47230168221,0,47230168220,764
331,-1,47230168220,47230168221,0,47230168220,765
333,4,64053331380,64053331376,1,4,769
335,2,49748429460,49748429458,1,2,770
337,58613903951,1.25841E+11,67227186589,1,58613903951,774
339,47229391995,1.03071E+11,55841370105,1,47229391995,781
341,3,57227683630,57227683627,1,3,782
343,5.14318E+11,5.82137E+11,67819370735,8,39581966310,786
345,2,52921539290,52921539288,1,2,796
347,39394695738,96984389280,57589693542,1,39394695738,798
349,1.18791E+11,1.71712E+11,52921539288,3,12947609476,804
351,3,60147747390,60147747387,1,3,806
353,3.75147E+11,4.38989E+11,63842696334,6,55933068446,814
355,-3,61534138560,61534138563,0,61534138560,815
357,1.58705E+11,2.14389E+11,55684081631,3,47336985227,818
359,-2,40713020590,40713020592,0,40713020590,819
361,42924955393,94460336440,51535381047,1,42924955393,825
363,3,62402487820,62402487817,1,3,830
365,1.48202E+11,2.10843E+11,62640972355,3,22920527025,832
367,2,49748429460,49748429458,1,2,836
369,0,42926506990,0,0,0,840
371,3.30892E+11,3.88824E+11,57931767774,6,41233153406,842
373,0,38625945450,38625945450,1,0,850
375,2,52921539290,52921539288,1,2,857
377,1,67227186590,67227186589,1,1,873
379,0,38625945450,38625945450,1,0,874
381,1.10188E+11,1.58804E+11,48616016004,3,12956295328,882
383,3,57227683630,57227683627,1,3,893
385,93203341793,1.5295E+11,59746772897,2,33456568896,894
387,-1,47230168220,47230168221,0,47230168220,898
389,1.16783E+11,1.85735E+11,68952179433,2,47830858464,900
391,92720682531,1.536E+11,60879531389,2,31841151142,912
393,3,51535381050,51535381047,1,3,916
395,8.64374E+11,9.32205E+11,67830657271,13,50406496067,920
397,4,62126305770,62126305766,1,4,930
399,-1,55011803850,55011803851,0,55011803850,939
401,-1,55011803850,55011803851,0,55011803850,950
403,93804556343,1.51032E+11,57227683627,2,36576872716,951
405,81547801153,1.33083E+11,51535381047,2,30012420106,955
407,5,66290091520,66290091515,1,5,957
409,3,57227683630,57227683627,1,3,960
411,1.00883E+11,1.56724E+11,55841370105,2,45041388280,964
413,1.4781E+11,2.11434E+11,63624669356,3,20560267462,974
415,1,39756705650,39756705649,1,1,981
417,2,52921539290,52921539288,1,2,994
419,0,38625945450,38625945450,1,0,995
421,4,64053331380,64053331376,1,4,997
423,2.0766E+11,2.69438E+11,61777818608,4,22326589088,1000
425,52921228697,1.14455E+11,61534138563,1,52921228697,1004
427,-3,61534138560,61534138563,0,61534138560,1008
429,4,58360407610,58360407606,1,4,1011
431,3,57227683630,57227683627,1,3,1017
433,86583289363,1.38119E+11,51535381047,2,35047908316,1022
435,-1,62920545270,62920545271,0,62920545270,1023
437,-1,53949748790,53949748791,0,53949748790,1028
439,75862943426,1.24479E+11,48616016004,2,27246927422,1032
441,-1,57819822590,57819822591,0,57819822590,1044
443,3,42926506990,42926506987,1,3,1048
445,2,56909013170,56909013168,1,2,1050
447,45267781960,99321941700,54054159740,1,45267781960,1053
449,3.20113E+11,3.75954E+11,55841370105,6,40905884630,1062
451,36108718481,81552452440,45443733959,1,36108718481,1063
453,50402450023,1.10149E+11,59746772897,1,50402450023,1071
455,50402450023,1.10149E+11,59746772897,1,50402450023,1075
457,1,45443733960,45443733959,1,1,1076
459,48615394953,1.05843E+11,57227683627,1,48615394953,1098
461,3,60147747390,60147747387,1,3,1111
463,-1,62920545270,62920545271,0,62920545270,1112
465,-1,47230168220,47230168221,0,47230168220,1113
467,49155876439,1.06976E+11,57819822591,1,49155876439,1132
469,3,60147747390,60147747387,1,3,1139
471,4,56573110970,56573110966,1,4,1148
473,2,52921539290,52921539288,1,2,1149
475,41540348752,94461888040,52921539288,1,41540348752,1153
477,0,54054159740,54054159740,1,0,1154
479,3,51535381050,51535381047,1,3,1158
481,4,64053331380,64053331376,1,4,1160
483,57256368575,1.23546E+11,66290091515,1,57256368575,1166
485,0,38625945450,38625945450,1,0,1171
487,1.54655E+11,2.18912E+11,64257059319,3,26141187303,1175
489,97768348640,1.57719E+11,59950494160,2,37817854480,1176
491,2,52921539290,52921539288,1,2,1181
493,-1,47230168220,47230168221,0,47230168220,1188
495,2,52921539290,52921539288,1,2,1192
497,1.64116E+11,2.17741E+11,53625556883,4,3239165518,1195
499,42924955393,94460336440,51535381047,1,42924955393,1205
501,2,52921539290,52921539288,1,2,1209
503,2.20086E+11,2.80156E+11,60069595934,4,39877355344,1216
505,38033862957,91547484740,53513621783,1,38033862957,1217
507,1,67227186590,67227186589,1,1,1224
509,3,51535381050,51535381047,1,3,1229
511,2,52921539290,52921539288,1,2,1230
513,56938526911,1.23371E+11,66432930139,1,56938526911,1231
515,38622845759,85853013980,47230168221,1,38622845759,1232
517,49444939011,1.08763E+11,59318125669,1,49444939011,1237
519,52921228697,1.14455E+11,61534138563,1,52921228697,1238
521,38622845759,85853013980,47230168221,1,38622845759,1241
523,3,57227683630,57227683627,1,3,1244
525,1.11424E+11,1.77714E+11,66290091515,2,45134185730,1258
527,0,38625945450,38625945450,1,0,1259
529,0,54054159740,54054159740,1,0,1270
531,3,59746772900,59746772897,1,3,1285
533,3.6996E+11,4.30665E+11,60704505751,7,5733021663,1290
535,-1,47230168220,47230168221,0,47230168220,1308
537,1.36877E+11,1.98093E+11,61215451756,3,14446146192,1313
539,2,49748429460,49748429458,1,2,1314
541,-1,47230168220,47230168221,0,47230168220,1325
543,54981942974,1.19035E+11,64053331376,1,54981942974,1327
545,1.72789E+11,2.3032E+11,57530804377,4,196647982,1328
547,1,39756705650,39756705649,1,1,1332
549,4,64053331380,64053331376,1,4,1333
551,1.50152E+11,2.11686E+11,61534138563,3,27083741471,1337
553,3,42926506990,42926506987,1,3,1341
555,2,52921539290,52921539288,1,2,1348
557,92672177414,1.49245E+11,56573110966,2,36099066448,1351
559,1.57016E+11,2.1107E+11,54054159740,3,48907520550,1355
561,72948229669,1.20178E+11,47230168221,2,25718061448,1357
563,-1,62920545270,62920545271,0,62920545270,1358
565,4,61215451760,61215451756,1,4,1369
567,3,42926506990,42926506987,1,3,1373
569,45202561841,99046115100,53843553259,1,45202561841,1377
571,4.36951E+11,4.99077E+11,62126305766,8,2066790862,1379
573,52086611599,1.12791E+11,60704505751,1,52086611599,1381
575,50402450023,1.10149E+11,59746772897,1,50402450023,1385
577,1.33079E+11,1.88921E+11,55841370105,3,21396562565,1387
579,1.42398E+11,2.01626E+11,59228729848,3,23940231886,1396
581,2,49748429460,49748429458,1,2,1400
583,1.01537E+11,1.63071E+11,61534138563,2,40002485084,1402
585,-4,48616016000,48616016004,0,48616016000,1404
587,40408245752,90156675210,49748429458,1,40408245752,1418
589,72951329363,1.15878E+11,42926506987,2,30024822376,1421
591,3,51535381050,51535381047,1,3,1429
593,3,57227683630,57227683627,1,3,1431
595,-3,44058299900,44058299903,0,44058299900,1435
597,34325383913,77251890900,42926506987,1,34325383913,1446
599,3,57227683630,57227683627,1,3,1447
601,-2,50705925700,50705925702,0,50705925700,1451
603,40408245752,90156675210,49748429458,1,40408245752,1452
