,uid,shang10,shang9,shang8,shang11
39,170,4.544373396,4.63372096575,3.862594545,4.4185120475
40,179,5.064216398,4.792402313999999,5.1334984375,
41,182,4.607940205416667,4.781161524647058,4.843569098916666,4.663520733333334
42,186,4.5078337605000005,5.042367658428572,5.064255188,
43,188,4.414296183666666,3.862594545,3.862594545,4.723016822
44,195,4.553972420499999,4.974842946,,
45,201,5.8526172103333325,5.885770109,5.860905435,5.860905435
46,202,4.809475105,4.542008355999999,4.84899886,4.9190850275
47,208,5.657311097000001,,5.657311097000001,
48,211,6.153413856,6.153413856,,
49,215,4.436106073333334,4.378723923600001,4.579561447666666,4.436106073333334
50,229,5.9380911095,,,
51,235,5.722768362999999,,5.722768362999999,5.405415973999999
52,237,5.931812567000001,,,
53,239,5.722768363,5.722768362999999,5.250163423666666,5.5731832796
54,243,5.153538105,,5.405415973999999,
55,253,4.2928056835,4.0755157676666665,,
56,258,6.556419715333333,5.956397142,5.950289954666666,6.001079989249999
57,259,4.15998317925,4.974842946,,4.723016822
58,261,4.974842946,,5.153538105,5.722768362999999
59,274,6.087953139,5.97467729,,
60,276,5.584137011,,,6.153413856
61,280,6.722718659,,,
62,287,4.6337468225,4.077622622,,5.2921539289999995
63,294,6.266691431,,,
64,295,5.584156422,6.014774739,6.014774739,5.440616982999999
65,298,4.292754022,4.206701462,4.292754022,4.1852141527499995
66,308,4.974842946,,,
67,313,4.30037709475,3.862594545,,
68,315,4.3160272275,4.077622622,4.5891979385,4.2034839705
69,316,4.292650699,,,4.723016822
70,320,6.292054527,6.292054527,,
71,321,4.4187187455000005,,,4.292650699
72,327,4.657587153,5.014930043000001,,
73,339,5.514624627444444,5.422771797875002,5.4495471413,5.428143750625
74,354,6.237392127666666,6.584074882,5.835698028833334,6.584074882
75,360,4.351813812,3.919132555,4.723016822,
76,361,5.08540745825,5.6090722086666664,5.776308446,4.6337468225
77,364,4.3620980725,4.4539377055000005,4.633695109,
78,375,5.722768362999999,,,
79,384,5.670965859,,,
80,385,4.547813251199999,5.153538105,3.862594545,4.385814444999999
81,391,6.292054527,,,
82,393,5.112529815,4.9358238210000005,,4.6816216345
83,394,5.722768362999999,,6.153413856,6.292054527
84,400,5.885770109,5.722768362999999,4.974842946,5.885770109
85,404,4.583582113,4.779397034333333,5.0940248016666665,4.928383109384615
86,406,4.3356873113,4.43172049525,4.292650699,4.436106073333334
87,419,5.283737170666667,5.8360407610000005,5.348784951500001,5.494789432999999
88,421,3.966948301999999,,,3.975670565
89,429,6.405333138,,6.584074882,
90,431,5.140195575,4.7785996304,,
91,436,4.6853666014,4.408612604666666,,4.7715500894
92,438,5.2350282275,4.79247980625,4.9551473768,
93,439,4.292650699000003,4.292650699000003,4.292650699000003,4.905622982
94,449,5.2921539289999995,5.292153929,,
95,452,5.501180385,5.2921539289999995,,
96,460,4.7246446664,4.9816767010000005,4.711203190999999,4.762097174399999
97,470,5.931812567000001,5.931812567000001,5.931812567000001,5.931812567000001
98,471,6.087953139,,,
99,473,4.154158974,4.0449250195,4.140826746,4.259953096499999
100,476,5.153538105,,,
101,478,6.153413856,6.014774739,5.97467729,6.1837274110000005
102,485,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999
103,488,5.97467729,5.97467729,5.97467729,
104,489,4.6355967182499995,4.436106073333334,4.304297549166668,
105,496,6.722718659,,,
106,503,5.3488056545,5.2921539289999995,5.722768362999999,
107,504,5.442658452571429,5.453307053,5.468776610750001,4.692696984800001
108,505,5.705886871000001,5.705886871000001,6.153413856,6.153413856
109,506,4.950465957666666,4.9382774635,5.153538105,4.8489298839999995
110,510,5.584137011,,,
111,516,4.966097085,,,
112,517,4.974842946,,4.292650699,4.890900904666667
113,528,5.405415973999999,4.723016822,4.5078337605000005,
114,530,4.077622622,3.862594545,3.862594545,
115,531,4.723016822,4.8489298839999995,,
116,539,5.473514746333334,5.6887008575,6.2126305770000005,5.424252101
117,547,4.2928056835,4.292650699,,4.292650699
118,551,3.862594545,,,
119,555,5.839845316999999,5.578575204333333,5.231719614142857,5.653452687000001
120,558,4.723016822,4.723094402,4.6369435974,
121,560,5.6029893775,,,
122,562,4.376558264666667,4.077622622,4.5078337605000005,
123,568,4.839037988333334,5.112231633,4.839037988333334,4.839037988333334
124,576,4.4786316515,3.9876625307499998,4.077622622,
125,581,4.7920011093333335,4.4187187455000005,4.149298647666666,
126,582,5.007709531000001,,,4.723016822
127,583,5.587051896555555,5.2921539289999995,5.292153929,5.507461146000002
128,586,5.405415973999999,4.974842946,,4.974842946
129,587,4.36824528225,4.0891175818,4.4187187455000005,5.3513621780000005
130,591,4.292650699,4.292650699,3.862594545,
131,594,4.077622622,4.259112724,4.149298647666666,4.27637507775
132,596,4.9382774635,4.723016822,4.723016822,5.153538105
133,599,5.722768362999999,5.2921539289999995,,
134,606,4.723016822,3.975670565,,4.292650699
135,611,5.2228925925,,,5.2921539289999995
136,613,3.9277939935333337,3.9447203045,3.991974260200001,3.90811642436842
137,615,5.931812567000001,,,
138,616,5.722768362999999,,5.722768362999999,5.722768362999999
139,618,4.8489298839999995,4.723016822,4.950483206,4.8489298839999995
140,619,5.722768362999999,,4.9326993230000005,
141,622,5.150288759,,5.405415973999999,4.974842946
142,625,4.4874640384,,5.07059257,4.6538485395
143,627,5.405415973999999,4.723016822,,5.1863836013333335
144,630,5.9380911095,6.405333138,6.0640507505,5.2921539289999995
145,646,5.07059257,4.723016822,5.2921539289999995,5.153538105
146,649,5.501180385,5.153538105,,
147,651,4.5038899703999995,,,4.271163389750002
148,660,5.337442697666667,5.69740682,4.1341606319999995,5.389063427000001
149,661,4.938393855,5.3217919295,4.8276696795,5.799455875
150,662,5.405415973999999,6.83599934,,
151,666,4.577374237,4.6528510223333335,4.479516367,3.862594545
152,668,4.292650699,,,4.292650699
153,671,5.0075853755,5.178195515,4.723016822,4.974842946
154,681,5.722768362999999,5.722768362999999,5.722768362999999,5.779404562000001
155,682,5.722768362999999,,,
156,685,5.657311097000001,3.862594545,,
157,688,5.722768362999999,,,
158,691,4.723016822,4.9127291909999995,5.0075853755,4.61542529125
159,692,5.2228925925,5.722768362999999,,
160,693,3.9701085835,3.862594545,3.862594545,5.1536079625
161,696,4.6337468225,,,5.022717758
162,697,4.974842946,,,
163,704,4.723016822,3.862594545,3.8996694916999974,
164,706,4.292650699,5.07059257,4.3078377275,4.438587898
165,711,6.722718659,6.722718659,6.722718659,6.722718659
166,717,4.292650699,4.2034839705,,
167,729,5.2921539289999995,5.2228925925,,
168,739,4.974842946,,,4.5078337605000005
169,740,4.577374237,4.292650699,,
170,741,6.405333138,5.252499540500001,4.495737491,6.292054527
171,744,6.722718659,,6.895217943,
172,745,4.496953222428571,4.292650699,4.292650699,4.292650699
173,746,5.2921539289999995,,,5.722768362999999
174,751,5.07059257,,,
175,754,3.862594545,3.862594545,3.862594545,4.154158974
176,758,4.890900904666667,4.8489298839999995,4.742858978857143,4.8829983845
177,759,4.071302059,,4.071302059,
178,769,6.405333138,6.405333138,6.405333138,6.405333138
179,772,6.584074882,,,
180,781,4.7381669455,,4.974842946,5.153538105
181,786,5.246823788571429,5.2921539289999995,5.256897153111113,5.292153929
182,796,5.584137011,5.2921539289999995,,5.2921539289999995
183,804,4.364378386166666,4.292650699,4.292650699,4.2928056835
184,813,3.862594545,4.292650699,3.885209749,
185,814,4.7905158815,4.704377284714286,5.143541559,4.877658293888889
186,818,4.3211910095,4.474056497666667,3.862594545,4.2877846024
187,819,4.071302059,4.071302059,4.071302059,4.071302059
188,825,4.723016822,5.405424601,,4.723016822
189,828,4.292650699,4.5078337605000005,,
190,832,4.663613772,4.520151437666667,4.292650699,5.27108610225
191,834,5.153538105,,,
192,839,5.97467729,,,
193,840,5.153538105,,,4.292650699
194,842,4.143393851,4.298378590000001,4.489564815,4.320264000555557
195,853,6.2126305770000005,6.2126305770000005,,
196,854,5.722768362999999,4.292650699,4.292650699,
197,856,5.2921539289999995,5.2921539289999995,,
198,863,5.007709531000001,3.862594545,,
199,873,6.722718659,6.722718659,6.722718659,6.722718659
200,875,5.1334984375,,,
201,876,6.722718659,,,
202,882,4.723016822,4.292650699,,3.9701085835
203,884,5.781982258999999,5.781982258999999,,
204,893,5.722768362999999,5.722768362999999,3.862594545,5.722768362999999
205,894,5.082329974166666,5.108879192,4.7349843947500005,5.098337156333334
206,896,4.40582999,4.6418717095,,
207,900,6.191173911,6.461972788,6.148174757333333,6.191173911
208,912,5.140209377,4.9182636625,4.593094749714285,5.120007130666667
209,913,5.2921539289999995,5.722768362999999,5.2921539289999995,
210,916,4.787653827,,3.862594545,5.153538105
211,918,6.316422771,,6.316422771,
212,920,4.5771261495,4.885961244,4.723016822,4.906342318894737
213,921,6.722718659,,6.83599934,
214,927,5.722768362999999,,,
215,930,5.722768362999999,6.2126305770000005,5.8360407610000005,6.2126305770000005
216,939,5.501180385,5.501180385,,5.501180385
217,951,4.723016822,,,5.034407999
218,955,3.862594545,4.077622622,3.862594545,4.436106073333334
219,957,6.629009152,6.629009152,6.629009152,6.629009152
220,958,5.657311097000001,,,
221,964,5.1748539536000004,,5.474732512999999,5.2241376163333335
222,974,4.8254352774,4.459559490555556,4.991776008,5.28585688825
223,977,4.4185120475,4.154158974,4.154158974,
224,978,4.6337468225,4.077622622,4.974842946,
225,994,5.340021827,,,5.2921539289999995
226,1004,6.153413856,,,5.722768362999999
227,1011,5.722768362999999,,5.722768362999999,5.8360407610000005
228,1020,5.722768362999999,,,
229,1022,4.861601599999999,4.56962963925,4.862387743,4.603955680333333
230,1027,4.9382774635,3.862594545,,
231,1028,5.3843553260000006,4.6180728265,5.304455557,5.394974878999999
232,1030,4.292650699,3.862594545,,
233,1032,4.723016822,5.0705419065,5.1334984375,4.149298647666666
234,1040,5.657311097000001,,,
235,1045,4.292650699,,3.934270570666667,
236,1053,5.080620173333333,4.9182636625,,4.966097085
237,1056,5.722768362999999,,,
238,1059,3.862594545,4.544373396,,
239,1060,5.722768362999999,,,
240,1061,4.657587153,,,
241,1062,4.181976379,4.279320098875,4.241757339285714,4.177267836222223
242,1071,5.202424297666666,5.010031010666666,5.722768362999999,5.507461146
243,1075,5.732833997142857,,,5.507461146
244,1078,6.153413856,4.292650699,,
245,1080,5.2921539289999995,4.3274984295,4.769473661333333,
246,1098,5.405415973999999,5.2921539289999995,4.974842946,5.2921539289999995
247,1101,5.97467729,5.97467729,5.97467729,
248,1102,4.149298647666666,,3.862594545,
249,1107,5.722768362999999,5.2921539289999995,5.722768362999999,
250,1112,5.654799207666667,,,6.292054527
251,1116,5.625454128333334,,5.6334156095,
252,1131,6.121545176000001,,6.153413856,
253,1133,5.722768362999999,5.722768362999999,5.722768362999999,
254,1148,5.263556864,,,5.657311097000001
255,1152,4.92652128,3.862594545,4.292650699,
256,1153,4.723016822,5.153538105,,4.723094402
257,1158,4.5078337605000005,4.545920149666666,,5.153538105
258,1166,5.905359025499999,6.0426132115,5.405415973999999,6.177323004500001
259,1171,3.862594545,4.7938357473333335,,3.862594545
260,1175,5.314806338000001,5.211171243239997,5.21346920536842,5.472809131500001
261,1176,5.15837147,5.15837147,5.066607208,5.257294760000001
262,1177,4.7596771315,4.4185120475,,
263,1180,5.2921539289999995,4.723016822,,
264,1186,3.919132555,,,
265,1188,5.584137011,,,4.723016822
266,1192,5.201346296833333,4.718864815454546,5.533019767666667,5.2921539289999995
267,1193,5.6362492589999995,4.723016822,6.003557542333334,
268,1195,4.277219085,4.446186459000001,4.381462331571429,4.3548278609999995
269,1202,5.657311097000001,5.657311097000001,,
270,1205,4.341389509,4.974842946,4.974842946,4.723016822
271,1216,5.253004139333336,5.931812567000001,4.6340052595,4.669262318
272,1217,4.60570009975,4.633695109,4.603955680333333,4.577374237
273,1220,4.723016822,,4.723016822,
274,1229,5.153538105,4.974842946,4.8069588633333336,5.153538105
275,1230,4.9089756485,,4.995209729,5.2921539289999995
276,1233,5.3688957805,,,
277,1234,4.779534363000001,4.796667386,,
278,1238,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999
279,1239,5.007709531000001,4.40024222975,6.153413856,
280,1241,4.974842946,4.436106073333334,4.197082664777778,4.292650699
281,1244,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999
282,1248,4.974842946,,,
283,1251,6.722718659,,,
284,1258,5.6988913656666655,5.6941557715,5.92540775,5.923812292
285,1268,5.722768362999999,5.722768363,5.551658431,
286,1270,5.219512395333333,4.9382774635,5.348784951500001,5.405415973999999
287,1275,6.087953139,6.087953139,6.087953139,
288,1279,5.722768362999999,,4.723016822,
289,1285,5.97467729,5.97467729,,5.97467729
290,1286,3.862594545,4.292650699,4.1851366604999996,
291,1293,5.2921539289999995,4.8645984402,,
292,1306,4.455523524,5.198462623999999,4.7276605745,
293,1313,4.723016822,,,4.9523125365
294,1317,4.723016822,,5.405415973999999,
295,1327,5.9517637175,5.9517637175,5.482633610333333,5.9517637175
296,1328,5.115238983999999,4.4569300916,4.6816216345,4.6063973098
297,1333,6.405333138,,,6.405333138
298,1343,6.05244065,,,
299,1351,4.974842946,4.974842946,4.974842946,4.974842946
300,1355,4.4187187455000005,4.8069588633333336,4.330532155,4.2213999954000005
301,1357,4.1688567355,4.2928056835,3.862594545,4.005946596333334
302,1362,4.974842946,,5.2921539289999995,
303,1369,6.121545176000001,6.048111232999999,5.507461146,6.121545176000001
304,1373,4.292650699,4.292650699,4.292650699,4.292650699
305,1377,4.292650699,4.663290766499999,3.900286551666667,4.952305755
306,1379,4.629482803571428,4.517627390266666,4.734335064272727,4.990772369899999
307,1381,4.974842946,,,5.6395558675
308,1385,5.588962018999999,5.885770109,5.885770109,5.507461146
309,1387,5.7227838925,4.974842946,5.3304996255,4.723016822
310,1390,4.857099095,4.782208137,,
311,1394,5.584137011,4.351813812,,
312,1396,4.974842946,4.292650699,4.259953096499999,5.04066053575
313,1397,5.722768362999999,6.153413856,,
314,1400,4.7341757026,,,4.974842946
315,1402,6.153413856,,5.722768362999999,5.435692073666669
316,1404,6.240248782,4.5771261495,4.69665164,4.861601599999999
317,1421,4.292650699,,,3.862594545
318,1430,5.885770109,,4.292650699,
319,1435,5.099672356357145,4.292650699,4.67838182225,4.40582999
320,1446,3.862594545,4.154158974,,3.862594545
321,1447,5.153538105,5.9380911095,,5.722768362999999
322,1452,4.292650699,4.077622622,4.292650699,4.5078337605000005
323,1459,4.696679215500001,4.829034886,4.9643144065,5.054775593833334
324,1468,6.153413856,,,
325,1475,5.5641284010000005,6.05244065,6.05244065,5.2921539289999995
326,1478,4.292650699,,5.153538105,4.292754022
327,1479,5.666366190166666,5.881798401285715,5.321027241142858,5.722768363
328,1482,4.544373396,,,4.715183235
329,1484,4.3620980725,3.862594545,3.862594545,4.332086715571429
330,1497,6.405333138,5.7921042279999995,6.405333138,6.405333138
331,1500,5.507461146,,,
332,1508,6.4645507989999995,,6.4645507989999995,
333,1509,5.3350285425,4.974842946,,
334,1510,4.544373396,,,
335,1518,4.5230725025,4.0083767595,4.633695109,4.622092928
336,1519,4.292650699,,,
337,1521,4.723016822,5.389481623000001,5.722768362999999,
338,1524,4.292650699,,3.862594545,5.657311097000001
339,1529,5.438153234,4.974842946,5.2921539289999995,5.0641905255
340,1532,6.4645507989999995,,,
341,1539,5.931812567000001,,5.722768362999999,5.292153929
342,1547,5.1778521979090915,5.1503927336,5.1761605732,5.169697010857143
343,1562,5.584137011,5.438153234,5.056267335666667,5.584137011
344,1563,5.062776792749999,5.721207520499999,5.732872388,5.7165078860000005
345,1566,4.974842946,4.292650699,5.007709531000001,
346,1577,4.974842946,4.823275540666667,4.439900646857143,
347,1579,6.568344441,6.568344441,6.568344441,6.568344441
348,1580,6.83599934,,,
349,1593,4.8330028975,4.307955807,,4.6490028115
350,1594,4.6337468225,4.376696063333333,,4.723094402
351,1595,5.722768362999999,,,5.183845743
352,1598,5.550707716333334,,,6.104976146
353,1610,6.316422771,,,
354,1612,5.584137011,3.862594545,5.43814547,5.2921539289999995
355,1614,4.393670569875,4.5078337605000005,4.446375517666667,4.9182222730000005
356,1621,6.405333138,,,
357,1624,6.246002272,,,
358,1629,5.931812567000001,,5.153538105,
359,1631,5.1120653375,4.482466391,,4.67838182225
360,1633,4.544373396,5.2921539289999995,5.2921539289999995,5.2921539289999995
361,1637,6.2126305770000005,,,
362,1638,5.405415973999999,,5.2921539289999995,
363,1645,3.975670565,3.975670565,3.975670565,3.975670565
364,1653,5.153538105,4.8805497217500005,4.292650699,4.6340052595
365,1656,5.399592302333333,4.890969873,4.507460983142857,5.464989653
366,1658,5.405415973999999,5.06746360375,4.625911416666667,
367,1661,5.722768362999999,,,
368,1662,4.0136626178181825,3.9857638097,4.079868068800001,4.243577827444444
369,1667,5.722768362999999,,5.2921539289999995,
370,1676,5.0219809161999995,,,
371,1686,4.723016822,4.077622622,,4.292650699
372,1689,6.266691431,,,
373,1691,4.842975309000001,4.723024581000001,,
374,1694,5.97467729,5.97467729,5.97467729,
375,1695,5.161896519142857,,,5.02969688325
376,1710,5.2921539289999995,,,
377,1712,5.2921539289999995,5.2921539289999995,5.2921539289999995,5.2921539289999995
378,1721,5.722768362999999,6.162664212,,
379,1724,5.2921539289999995,5.2921539289999995,,5.501180385
380,1725,5.722768362999999,,4.2796336518,5.2921539289999995
381,1728,5.931812567000001,5.153538105,,
382,1731,4.292650699,4.292650699,4.292650699,4.292650699
383,1735,4.292650699,4.223404836499999,4.482652484333333,5.1574031275
384,1742,6.014774739,,6.014774739,6.014774739
385,1754,4.974842946,5.0075853755,5.722768362999999,4.723016822
386,1758,5.2921539289999995,5.2921539289999995,,
387,1759,4.292650699,4.077622622,4.5078337605000005,4.292650699
388,1775,4.853215858,4.4517870003999995,4.6538485395,5.04176811375
389,1783,3.862594545,,4.723016822,5.07059257
390,1784,6.722718659,,,
391,1786,4.4979431422500005,5.140302500333333,6.153413856,4.792309211
392,1789,4.723016822,4.292650699,4.544373396,4.292650699
393,1797,6.014774739,,,
394,1804,4.14055329625,4.9371073286666665,4.376558264666667,4.3620980725
395,1805,3.862594545,,,
396,1807,5.222846017,,,5.405415973999999
397,1808,4.8489298839999995,5.2921539289999995,4.292650699,5.049959519666667
398,1809,4.861601599999999,4.292650699,3.862594545,
399,1810,5.657311097000001,5.5640921685,,5.405415973999999
400,1816,5.153538105,5.438153234,5.153538105,5.722768362999999
401,1819,4.857987355833333,5.31939624475,5.2134324882000005,5.149358438399999
402,1827,4.8490333365,5.459162284333334,4.974842946,
403,1829,3.862594545,,,
404,1833,4.347068829333334,4.292650699,4.702844780333333,5.07059257
405,1842,6.014774739,,6.014774739,5.524576272666667
406,1844,4.408612604666667,5.438215339,4.922883457,
407,1848,3.862594545,,,5.856412552999999
408,1850,4.579672589833334,4.822288402,,4.316542741999999
409,1852,4.663572457333333,4.434888424249999,5.153538105,4.40024222975
410,1855,4.723016822,,6.0313152145,6.153413856
411,1856,5.2921539289999995,5.0075853755,5.501180385,4.8490333365
412,1862,4.723016822,5.0075853755,4.645657848333333,
413,1863,5.69003973,,4.648308045199999,
414,1864,6.1685728525,6.524313076,5.9664105032500006,6.643293014
415,1866,5.2921539289999995,3.919132555,4.723016822,
416,1869,5.584137011,5.584137011,,5.4054849805
417,1871,5.584137011,,4.974842946,
418,1873,5.4947764925,4.723016822,5.722768362999999,5.405415973999999
419,1876,5.501180385,,4.71307456825,
420,1877,4.623042475,4.963841257333334,4.292650699,4.861286803333333
421,1891,5.3487892650000015,5.722768362999999,,
422,1892,4.417185425,4.56019196425,4.780149083,4.773360155333333
423,1899,6.087953139,,,
424,1901,4.996671232333333,,,
425,1906,4.723016822,,6.0640507505,6.087953139
426,1908,5.931812567000001,5.722768362999999,,5.931812567000001
427,1909,4.723094402,,,4.853388149333334
428,1913,4.723016822,,4.292650699,
429,1914,4.292650699,,,
430,1919,3.862594545,,4.071302059,
431,1925,4.896804696,,,4.515141687600001
432,1926,3.862594545,3.862594545,5.657311097000001,4.077622622
433,1928,5.722768362999999,,,6.121545176000001
434,1930,5.722768363,5.722768362999999,5.722768362999999,5.722768363
435,1938,5.8360407610000005,5.153538105,,
436,1940,3.862594545,4.544373396,,4.723016822
437,1941,4.392637096166666,4.14055329625,4.089854162,4.5078337605000005
438,1945,5.657311097000001,,,5.2921539289999995
439,1946,5.6631998606666665,,5.7227838925,
440,1949,5.501180385,,,4.8738960195
441,1953,5.722768362999999,5.722768362999999,,
442,1954,5.643349495,4.974842946,,4.071302059
443,1956,6.153413856,,,
444,1962,5.931812567000001,5.931812567000001,5.4438207143333335,5.9087913379999994
445,1964,4.974842946,4.081319649849999,4.2034839705,6.535635912
446,1965,5.722768362999999,,,
447,1968,4.364378386166666,4.4713843681249985,,4.412300740133333
448,1970,6.316422771,6.316422771,,
449,1971,5.5641284010000005,,,
450,1975,6.153413856,,,5.2921539289999995
451,1976,4.723016822,,,
452,1979,4.807010583333333,4.663572457333333,5.405415973999999,
453,1980,4.292650699,4.292650699,4.169777512142857,
454,1985,4.03303925775,5.042761306499999,4.397292299,4.809815297
455,1988,4.6122760519999995,4.589270173,4.896804696,4.286374265
456,1999,5.97467729,,,5.97467729
457,2004,5.7771022783333335,5.7771022783333335,6.4645507989999995,5.7771022783333335
458,2005,4.723016822,,,
459,2009,4.077622622,4.723016822,4.455523524,4.3431399114
460,2015,4.344563557611112,4.292650699,4.340469157111111,4.674386597833333
461,2017,4.974842946,,,4.544373396
462,2021,5.2794770395,4.292650699,4.974842946,
463,2025,6.292054527,6.292054527,6.292054527,6.292054527
464,2027,4.8489298839999995,5.2921539289999995,,4.974842946
465,2033,3.862594545,,,
466,2035,5.51348766625,5.657311097000001,6.153413856,5.07059257
467,2036,4.6259217653333335,,,4.40582999
468,2039,5.3488746305,5.692111613666666,5.1292689218,5.3488056545
469,2040,5.722768362999999,,4.544373396,
470,2048,4.376868354666667,4.500202896499999,4.5965154478,4.788651355
471,2049,4.974842946,,,
472,2056,4.292650699,4.292650699,4.723016822,5.405415973999999
473,2062,5.405415973999999,5.931812567000001,,5.405415973999999
474,2065,4.3557622144999995,4.07921421442857,4.6633471835,4.436106073333334
475,2066,4.723016822,4.974842946,,4.723016822
476,2067,5.153538105,5.507461146,5.1535769165,4.853326229333333
477,2070,5.507461146,5.507461146,5.722768362999999,5.2921539289999995
478,2073,5.474760118,5.97467729,5.97467729,5.474760118
479,2075,5.2921539289999995,,,
480,2077,5.809215671666666,5.3193048192,5.584137011,4.747445530333333
481,2079,5.3652141335,4.723016822,4.292650699,4.723016822
482,2081,5.2921539289999995,,5.2921539289999995,
483,2082,4.292650699,,,
484,2089,4.723016822,4.663290766499999,4.723016822,4.723016822
485,2093,5.153538105,4.4058730635000005,4.6069783614999995,
486,2096,4.242248096199999,4.062761500583333,4.082923767142857,4.334604481833333
487,2099,5.722768362999999,,,5.722768362999999
488,2106,5.584137011,,6.405333138,
489,2107,4.974842946,,,
490,2117,4.4359369604999985,4.352189540666667,4.20836429075,4.37884343775
491,2118,4.723016822,,,
492,2120,6.405333138,,6.405333138,
493,2122,5.19012946,5.19012946,5.405415973999999,5.405415973999999
494,2125,4.974842946,4.723016822,4.723016822,4.723016822
495,2132,5.542658697999999,5.4054418535,5.97467729,5.970521466
496,2135,5.950289954666666,6.23738695,5.722768362999999,6.1534216225
497,2141,5.2921539289999995,,,
498,2142,3.862594545,5.501180385,4.351813812,
499,2146,5.2921539289999995,,,
500,2148,4.723016822,,,4.322401341
501,2157,6.405333138,,,
502,2158,4.411647505625,4.908122466333333,4.707506103399999,4.481493747571429
503,2161,5.722768363,5.722768363,5.722768363,5.722768362999999
504,2163,4.555284404142857,4.292650699,4.6816216345,5.084234073999999
505,2179,6.153413856,4.723016822,,
506,2180,4.0083767595,,3.862594545,3.862594545
507,2191,4.3557622144999995,4.077622622,4.315358892600001,4.14065664525
508,2199,4.357836302166667,4.796165924166666,4.169866074714286,4.5607497727499995
509,2201,5.2921539289999995,5.0075853755,4.974842946,5.2921539289999995
510,2207,5.501180385,4.950534926,5.405415973999999,
511,2209,5.425786096,,4.8489298839999995,5.304455557
512,2221,5.507461146,,,
513,2222,4.815453634187501,4.80429488425,4.567866572777778,4.810671312785715
514,2228,4.2762591554,4.119576404833333,3.959782688,4.1505912215
515,2232,5.722768362999999,,,
516,2236,5.2921539289999995,5.2921539289999995,5.2921539289999995,
517,2246,5.722768362999999,,,
518,2248,4.829515285666667,4.792681453999999,4.376558264666667,4.1851366604999996
519,2251,4.538903335,3.9955317637142858,4.44121240625,4.350147986
520,2262,5.507461146,,,
521,2270,4.3431399114,4.57086778375,5.100773255,4.233344012
522,2273,6.405333138,,,
523,2277,4.4187187455000005,,3.862594545,
524,2278,4.633695109,,3.862594545,3.975670565
525,2279,4.48732994125,4.577374237,4.958986185666668,4.3431440874
526,2280,4.836247821000001,4.544373396,5.198462623999999,4.292650699
527,2289,4.691970106142857,4.292650699,4.149298647666666,4.515162373
528,2292,4.0649147695,,,
529,2296,5.722768362999999,,6.584074882,
530,2297,5.071170142833336,,4.836247821000001,5.2921539289999995
531,2302,4.005946596333334,3.862594545,3.9903472786000003,4.782208137
532,2303,5.501180385,5.066415686,4.974842946,5.0641905255
533,2308,5.931812567000001,5.781982258999999,5.781982258999999,5.931812567000001
534,2309,4.302854104333333,4.259953096499999,4.520048114666667,4.5154863144999995
535,2311,5.722768363,5.279603817,,
536,2312,6.4645507989999995,6.4645507989999995,6.4645507989999995,
537,2314,3.975670565,,,3.975670565
538,2316,5.2921539289999995,,,
539,2324,5.367667710333333,,,5.2921539289999995
540,2331,6.4257059320000005,6.4257059320000005,6.4257059320000005,6.4257059320000005
541,2334,5.584137011,,,5.501180385
542,2337,4.292650699,4.625818442333333,,4.292650699
